62	28180	9665	40439	29251	23994	17515	44800	41144	37332	
8705	42949	35526	25678	15200	749	4570	18223	7366	
8295	49428	22285	5954	233	445	18894	26584	28560	
30089	30359	8312	33153	22540	17606	2852	30385	39167	
40132	25995	15098	43800	36335	47797	46288	26968	7117	
23105	11766	43114	10480	38984	42184	49842	49987	30576	
19622	13311	14864	42009	1187	18794	4631	33861	2810	
439	45941	13795	13645	29396	34560	41882	36326	24248	
10268	37188	23424	22899	47460	37223	5414	29953	19262	
36752	30449	28621	18067	7578	11255	21258	40146	25856	
49501	37579	17278	8449	32866	24596	3177	34989	25241	
7375	47481	7079	45258	34646	15153	21328	3518	48332	
34161	7662	43864	41086	29103	9568	8895	40861	23764	
7778	25197	36602	20280	13979	28438	34113	37794	36097	
23765	6151	18391	41736	1754	25851	33150	21312	5234	
47469	46071	27478	17300	23587	18749	42351	15844	22806	
13595	49150	14890	36961	28365	9799	38067	41974	19883	
25046	44510	1373	49733	28630	2525	26567	9703	42154	
31339	32882	9893	42109	6166	5496	37158	15704	47055	
14304	16816	7013	36656	41733	35401	30013	37362	12636	
7224	80	3050	40313	42633	10529	5780	27661	712	
5688	22726	37612	34309	27173	3694	21837	10097	34812	
14518	21835	11622	28894	26630	31435	8009	25207	48154	
34789	46242	9497	16798	8917	49761	22873	49903	4875	
31260	4719	21887	46578	2421	44733	14501	11365	38455	
20536	10099	31405	30208	22581	23318	29892	31737	42741	
41441	31240	36047	28288	18757	9213	36897	27757	45256	
12143	9447	30237	34927	29232	17565	24724	4019	37039	
30603	31020	34557	40228	7456	28803	43388	45580	30736	
36385	2160	33390	48828	15751	28461	15292	8696	5427	
43454	42563	37217	7744	16346	3967	3830	32050	41002	
27255	22413	20449	14938	23279	25061	7633	16152	36901	
15694	41336	47956	43669	36253	15003	47202	6361	3287	
39250	26230	30483	47808	3613	43783	32694	16106	5240	
25253	11354	14515	46001	27559	33141	5727	24628	18957	
24841	39669	25464	19119	34409	26608	30315	19760	294	
35395	5031	31154	43164	24576	37368	24846	19006	39270	
27641	17855	47788	31543	8829	18713	6581	37165	47588	
30600	1391	16493	2795	31962	6581	42355	43217	29845	
36083	42700	734	6323	35397	30858	10878	3297	8446	
31206	17049	15971	18379	33051	40121	40345	26328	30556	
39911	45032	7240	31510	20121	12685	6827	42761	3308	
21391	28668	15115	27403	11278	15568	5531	40403	6735	
14213	39407	44763	39483	37191	30762	18057	42834	11425	
43181	11472	12478	27121	49244	2690	4071	26234	21341	
4733	12940	44579	11638	7327	6255	46584	4005	2354	
2936	16821	45737	19931	21640	47310	41861	26712	42106	
34678	19885	12958	216	26280	47742	19935	12055	29279	
12757	34202	47266	21776	44513	358	47051	30078	39309	
28835	7121	11116	19151	213	20897	4112	32998	42756	
3242	40554	33105	34576	40136	26508	34283	7138	34476	
36396	38888	1553	43436	32227	35329	4272	27600	47397	
2939	13749	7259	49091	31000	14612	46126	18377	34728	
10932	7796	12027	26073	45116	5321	45134	22087	4005	
39106	8589	48722	38795	43521	10532	22832	187	37533	
5702	20236	15557	49633	1928	12604	9464	12385	7675	
31017	44270	46956	9783	38984	32279	32839	45459	22774	
46066	33210	7538	31818	28478	21103	47153	27030	28929	
26824	12764	19848	17513	1831	39764	9825	3514	19471	
29538	3546	9883	7794	32218	22717	30216	34869	22065	
34225	19827	41787	29612	9980	47475	43802	19586	49375	
9265	44788	28723	22104	31368	35427	2481	14278	13010	
20382	44768	35511	36424	44804	19679	19871	45195	15430	
19406	28530	17678	36686	37269	36820	36973	6966	10009	
13630	34023	45558	18392	25884	5469	45374	10154	25899	
32743	21927	34383	4521	3978	3789	1390	17755	15362	
34866	7134	19743	3392	33788	36248	9935	34702	30787	
32746	27200	4915	27269	2481	48731	23202	48500	36395	
26549	33997	34641	18606	19432	2498	40490	8478	3041	
15528	39225	10624	16096	24234	457	21994	25394	30298	
37928	20054	17491	42134	47118	31167	49866	2673	28144	
43179	19338	15321	14211	1335	30629	19560	930	1551	
22786	42898	46840	20095	36366	30581	40420	43773	29131	
29752	3950	39660	23111	29532	29473	28461	40805	33639	
17179	511	13366	17078	11605	38552	18588	43495	5843	
36280	31447	44699	9151	26779	45102	39006	48262	9868	
45079	39872	47672	42442	44519	31437	9273	30848	13250	
12533	36611	39407	8547	35696	24048	4074	40329	42769	
6232	15374	28667	23649	38104	9593	36390	49753	767	
32383	34583	8707	3605	13749	33832	41948	27834	18562	
38977	11626	31913	11583	10230	48554	14088	1144	38462	
7591	2348	462	17429	32195	17162	20729	20826	4533	
27260	34965	16900	32877	43814	26775	28502	2699	23289	
12999	21341	43169	24330	4371	28292	35471	38925	43213	
