250	112718	38661	161750	117003	95976	70059	179195	164570	149323	
34822	171791	142102	102708	60799	2996	18280	72891	29463	
33180	197708	89139	23817	933	1782	75577	106334	114238	
120354	121435	33247	132611	90159	70425	11408	121538	156666	
160523	103978	60390	175197	145337	191183	185146	107872	28468	
92417	47066	172450	41920	155933	168733	199362	199942	122301	
78488	53243	59457	168031	4748	75174	18525	135443	11243	
1757	183761	55178	54580	117583	138238	167524	145300	96989	
41072	148749	93693	91593	189834	148889	21656	119811	77048	
147003	121795	114482	72268	30311	45021	85032	160578	103422	
198001	150312	69113	33796	131463	98381	12708	139954	100962	
29499	189919	28315	181026	138580	60610	85312	14075	193325	
136639	30647	175453	164338	116411	38270	35579	163441	95054	
31111	100785	146405	81119	55916	113750	136450	151172	144385	
95060	24604	73562	166938	7019	103404	132598	85245	20936	
189870	184279	109911	69198	94346	74997	169398	63375	91221	
54378	196597	59560	147840	113457	39198	152265	167891	79532	
100181	178035	5493	198928	114519	10101	106267	38814	168611	
125353	131524	39570	168434	24665	21985	148627	62814	188216	
57217	67263	28053	146619	166926	141602	120049	149445	50545	
28895	323	12201	161250	170527	42116	23121	110643	2850	
22754	90903	150446	137231	108690	14777	87345	40388	139245	
58071	87339	46486	115575	106517	125738	32038	100828	192611	
139154	184963	37990	67190	35670	199038	91489	199606	19501	
125036	18879	87546	186306	9686	178926	58004	45461	153815	
82144	40394	125616	120830	90324	93272	119567	126946	170961	
165760	124956	144183	113152	75027	36854	147583	111028	181020	
48574	37788	120946	139703	116924	70260	98893	16077	148151	
122411	124078	138226	160908	29823	115209	173549	182314	122942	
145539	8642	133557	195309	63003	113841	61166	34785	21711	
173811	170247	148865	30976	65383	15869	15320	128198	164003	
109019	89652	81797	59750	93113	100242	30531	64608	147602	
62777	165339	191818	174672	145007	60012	188802	25446	13147	
156995	104918	121929	191225	14453	175130	130773	64425	20960	
101011	45418	58059	183999	110234	132562	22907	98509	75827	
99363	158674	101854	76474	137634	106431	121258	79038	1178	
141577	20124	124615	172652	98301	149469	99382	76022	157075	
110564	71420	191146	126171	35316	74850	26325	148658	190347	
122399	5566	65969	11182	127844	26325	169417	172865	119378	
144330	170796	2935	25294	141583	123431	43513	13190	33784	
124822	68197	63882	73514	132202	160481	161378	105308	122222	
159638	180123	28962	126037	80484	50740	27308	171040	13233	
85563	114672	60458	109612	45113	62270	22126	161610	26942	
56850	157624	179048	157929	148761	123046	72226	171333	45699	
172719	45888	49910	108482	196969	10760	16284	104936	85361	
18933	51760	178310	46553	29310	25019	186330	16022	9418	
11743	67282	182943	79721	86557	189236	167439	106847	168422	
138708	79538	51833	866	105119	190963	79740	48220	117113	
51027	136804	189059	87101	178047	1434	188198	120312	157233	
115337	28486	44466	76602	854	83585	16449	131988	171022	
12970	162214	132415	138299	160542	106029	137127	28553	137903	
145581	155549	6213	173738	128906	141315	17090	110399	189584	
11755	54995	29035	196359	123998	58449	184499	73508	138910	
43727	31184	48110	104289	180458	21283	180532	88346	16022	
156422	34358	194882	155176	174080	42128	91325	750	150129	
22809	80942	62228	198526	7715	50417	37855	49538	30702	
124065	177077	187820	39131	155933	129113	131353	181832	91093	
184261	132836	30152	127270	113909	84409	188607	108116	115715	
107292	51058	79392	70053	7324	159052	39302	14057	77884	
118151	14185	39534	31178	128869	90867	120861	139471	88260	
136896	79306	167146	118444	39918	189895	175203	78342	197494	
37062	179146	114891	88413	125469	141705	9924	57113	52040	
81528	179067	142041	145691	179213	78714	79483	180776	61721	
77622	114116	70712	146741	149073	147278	147888	27863	40034	
54519	136090	182228	73569	103532	21876	181490	40614	103593	
130969	87705	137530	18085	15912	15155	5560	71017	61446	
